5.79E-01	4.13E-01	8.16E-03
0.00E+00	7.66E-01	2.34E-01
4.29E-01	5.49E-01	2.22E-02
2.99E-01	7.01E-01	0.00E+00
3.78E-01	4.97E-01	1.25E-01
5.04E-01	4.76E-01	2.03E-02
4.60E-01	4.99E-01	4.06E-02
5.69E-01	4.31E-01	0.00E+00
4.16E-01	4.65E-01	1.19E-01
4.28E-01	5.17E-01	5.50E-02
4.14E-01	5.86E-01	0.00E+00
5.07E-01	4.10E-01	8.22E-02
4.33E-01	4.95E-01	7.28E-02
4.80E-01	5.03E-01	1.66E-02
4.16E-01	4.90E-01	9.37E-02
5.80E-01	3.71E-01	4.89E-02
5.20E-01	3.85E-01	9.51E-02
5.39E-01	4.21E-01	3.97E-02
4.14E-01	4.81E-01	1.05E-01
3.97E-01	5.48E-01	5.48E-02
3.07E-01	5.47E-01	1.46E-01
6.58E-01	3.19E-01	2.30E-02
4.21E-01	5.25E-01	5.40E-02
4.86E-01	5.14E-01	7.82E-04
4.82E-01	5.18E-01	0.00E+00
3.18E-01	5.36E-01	1.46E-01
7.06E-01	2.94E-01	0.00E+00
3.35E-01	5.77E-01	8.86E-02
3.71E-01	5.32E-01	9.70E-02
4.24E-01	5.76E-01	0.00E+00
5.19E-01	4.20E-01	6.10E-02
6.78E-01	3.22E-01	0.00E+00
3.75E-01	4.62E-01	1.63E-01
4.54E-01	5.46E-01	0.00E+00
4.34E-01	5.59E-01	7.27E-03
2.85E-01	7.15E-01	0.00E+00
6.18E-01	3.79E-01	3.45E-03
5.41E-01	4.30E-01	2.98E-02
4.50E-01	4.95E-01	5.50E-02
4.45E-01	5.55E-01	0.00E+00
4.85E-01	4.83E-01	3.15E-02
3.82E-01	4.72E-01	1.47E-01
4.77E-01	4.51E-01	7.20E-02
4.66E-01	4.85E-01	4.85E-02
3.61E-01	6.05E-01	3.39E-02
4.70E-01	5.20E-01	9.38E-03
5.52E-01	4.37E-01	1.15E-02
4.93E-01	5.00E-01	6.46E-03
4.36E-01	5.61E-01	2.72E-03
4.14E-01	5.08E-01	7.78E-02
4.79E-01	5.19E-01	2.20E-03
4.65E-01	5.16E-01	1.89E-02
5.43E-01	4.57E-01	0.00E+00
3.76E-01	4.04E-01	2.20E-01
5.96E-01	4.04E-01	0.00E+00
3.62E-01	5.87E-01	5.05E-02
4.25E-01	4.45E-01	1.29E-01
5.61E-01	4.37E-01	2.04E-03
6.12E-01	3.66E-01	2.28E-02
4.77E-01	5.22E-01	1.39E-03
3.98E-01	5.52E-01	5.03E-02
5.44E-01	4.56E-01	0.00E+00
3.90E-01	5.21E-01	8.91E-02
4.06E-01	4.30E-01	1.64E-01
4.34E-01	3.65E-01	2.01E-01
4.78E-01	5.15E-01	7.49E-03
3.39E-01	5.63E-01	9.78E-02
5.22E-01	4.78E-01	0.00E+00
4.78E-01	4.23E-01	9.93E-02
5.18E-01	4.82E-01	0.00E+00
5.20E-01	4.71E-01	9.19E-03
3.37E-01	6.63E-01	0.00E+00
5.14E-01	4.85E-01	1.25E-03
5.19E-01	4.15E-01	6.56E-02
5.30E-01	4.70E-01	0.00E+00
3.18E-01	5.24E-01	1.58E-01
2.67E-01	6.40E-01	9.26E-02
7.16E-01	2.84E-01	0.00E+00
4.84E-01	5.00E-01	1.68E-02
4.26E-01	5.63E-01	1.11E-02
5.90E-01	4.10E-01	0.00E+00
3.88E-01	5.30E-01	8.19E-02
3.70E-01	5.85E-01	4.45E-02
6.47E-01	3.53E-01	0.00E+00
4.07E-01	4.98E-01	9.46E-02
5.27E-01	4.63E-01	1.03E-02
4.76E-01	5.24E-01	0.00E+00
2.00E-01	5.33E-01	2.67E-01
5.13E-01	4.87E-01	0.00E+00
3.51E-01	5.35E-01	1.14E-01
4.18E-01	5.82E-01	0.00E+00
5.12E-01	3.89E-01	9.88E-02
5.28E-01	4.72E-01	0.00E+00
4.36E-01	5.25E-01	3.90E-02
5.87E-01	4.13E-01	0.00E+00
5.37E-01	3.58E-01	1.06E-01
4.75E-01	4.80E-01	4.46E-02
4.28E-01	5.21E-01	5.12E-02
5.19E-01	3.98E-01	8.25E-02
4.97E-01	4.58E-01	4.52E-02
4.17E-01	3.83E-01	2.00E-01
4.63E-01	5.37E-01	0.00E+00
5.17E-01	3.97E-01	8.66E-02
5.35E-01	4.18E-01	4.77E-02
3.85E-01	3.83E-01	2.32E-01
4.41E-01	4.10E-01	1.49E-01
4.00E-01	4.97E-01	1.03E-01
3.68E-01	5.77E-01	5.55E-02
3.76E-01	5.21E-01	1.03E-01
3.13E-01	5.72E-01	1.15E-01
3.34E-01	5.05E-01	1.60E-01
4.72E-01	4.17E-01	1.12E-01
4.45E-01	5.55E-01	0.00E+00
4.67E-01	3.98E-01	1.35E-01
3.69E-01	5.70E-01	6.12E-02
4.91E-01	5.09E-01	0.00E+00
5.48E-01	4.09E-01	4.28E-02
4.34E-01	5.38E-01	2.80E-02
4.75E-01	4.64E-01	6.02E-02
4.96E-01	5.04E-01	0.00E+00
6.42E-01	3.26E-01	3.14E-02
4.79E-01	4.38E-01	8.35E-02
4.61E-01	4.71E-01	6.85E-02
2.90E-01	5.32E-01	1.77E-01
4.81E-01	5.19E-01	0.00E+00
5.60E-01	4.01E-01	3.84E-02
3.77E-01	6.23E-01	0.00E+00
4.32E-01	5.37E-01	3.02E-02
5.05E-01	4.95E-01	0.00E+00
4.76E-01	4.76E-01	4.85E-02
4.92E-01	4.69E-01	3.87E-02
5.77E-01	3.65E-01	5.81E-02
3.78E-01	5.58E-01	6.38E-02
3.56E-01	6.01E-01	4.28E-02
4.09E-01	5.55E-01	3.59E-02
4.79E-01	5.21E-01	0.00E+00
3.47E-01	5.42E-01	1.11E-01
4.68E-01	3.82E-01	1.51E-01
4.27E-01	4.58E-01	1.15E-01
4.92E-01	3.91E-01	1.17E-01
4.51E-01	5.21E-01	2.81E-02
3.46E-01	5.89E-01	6.47E-02
4.13E-01	3.99E-01	1.88E-01
3.51E-01	4.58E-01	1.91E-01
4.70E-01	4.62E-01	6.82E-02
3.60E-01	5.40E-01	9.96E-02
3.83E-01	5.47E-01	7.06E-02
5.04E-01	4.43E-01	5.23E-02
4.63E-01	4.79E-01	5.83E-02
4.43E-01	5.57E-01	0.00E+00
4.74E-01	5.26E-01	0.00E+00
4.27E-01	5.67E-01	6.04E-03
4.97E-01	5.03E-01	0.00E+00
3.47E-01	6.44E-01	9.13E-03
3.74E-01	5.85E-01	4.04E-02
4.89E-01	4.64E-01	4.72E-02
3.95E-01	6.02E-01	2.81E-03
4.68E-01	4.32E-01	1.00E-01
6.82E-01	3.18E-01	0.00E+00
3.76E-01	6.24E-01	0.00E+00
5.78E-01	3.59E-01	6.31E-02
3.83E-01	5.65E-01	5.19E-02
4.82E-01	4.54E-01	6.36E-02
6.29E-01	3.53E-01	1.77E-02
5.22E-01	4.78E-01	0.00E+00
4.19E-01	4.49E-01	1.32E-01
5.13E-01	4.62E-01	2.48E-02
4.80E-01	4.05E-01	1.15E-01
4.79E-01	4.06E-01	1.15E-01
4.32E-01	3.71E-01	1.97E-01
3.73E-01	6.27E-01	0.00E+00
3.43E-01	5.44E-01	1.13E-01
4.13E-01	4.76E-01	1.11E-01
5.09E-01	4.90E-01	3.08E-04
3.81E-01	6.05E-01	1.38E-02
3.66E-01	4.55E-01	1.79E-01
4.38E-01	5.62E-01	0.00E+00
5.35E-01	4.13E-01	5.20E-02
6.28E-01	3.72E-01	0.00E+00
5.63E-01	3.98E-01	3.90E-02
4.41E-01	5.34E-01	2.50E-02
3.90E-01	5.04E-01	1.05E-01
5.25E-01	4.31E-01	4.32E-02
4.34E-01	4.45E-01	1.21E-01
4.44E-01	5.56E-01	0.00E+00
6.05E-01	3.69E-01	2.67E-02
5.15E-01	4.41E-01	4.33E-02
5.12E-01	4.84E-01	3.65E-03
6.13E-01	3.23E-01	6.32E-02
4.04E-01	5.49E-01	4.64E-02
4.73E-01	4.07E-01	1.20E-01
6.74E-01	3.26E-01	0.00E+00
9.89E-02	6.45E-01	2.56E-01
4.70E-01	4.09E-01	1.20E-01
3.36E-01	5.37E-01	1.27E-01
3.76E-01	6.03E-01	2.14E-02
4.91E-01	5.09E-01	0.00E+00
4.08E-01	5.36E-01	5.58E-02
4.03E-01	4.79E-01	1.18E-01
3.68E-01	6.22E-01	9.22E-03
4.63E-01	4.24E-01	1.14E-01
5.02E-01	4.98E-01	0.00E+00
5.10E-01	4.06E-01	8.40E-02
4.20E-01	4.62E-01	1.18E-01
4.40E-01	5.16E-01	4.36E-02
4.76E-01	3.83E-01	1.41E-01
4.20E-01	4.15E-01	1.64E-01
4.40E-01	5.60E-01	0.00E+00
4.86E-01	4.40E-01	7.47E-02
3.88E-01	4.38E-01	1.73E-01
2.35E-01	7.65E-01	0.00E+00
4.55E-01	4.42E-01	1.03E-01
4.89E-01	4.02E-01	1.09E-01
4.37E-01	5.19E-01	4.41E-02
5.22E-01	4.34E-01	4.35E-02
3.67E-01	5.60E-01	7.27E-02
5.05E-01	3.61E-01	1.34E-01
4.73E-01	4.98E-01	2.93E-02
1.52E-01	6.09E-01	2.39E-01
5.10E-01	4.10E-01	8.06E-02
3.27E-01	5.75E-01	9.85E-02
4.70E-01	4.30E-01	1.00E-01
5.54E-01	3.86E-01	5.98E-02
5.78E-01	3.46E-01	7.59E-02
5.33E-01	4.61E-01	5.80E-03
4.08E-01	5.34E-01	5.83E-02
3.75E-01	5.66E-01	5.90E-02
6.67E-01	3.33E-01	0.00E+00
4.92E-01	5.08E-01	0.00E+00
6.82E-01	3.18E-01	0.00E+00
2.93E-01	6.24E-01	8.34E-02
3.51E-01	6.49E-01	0.00E+00
4.32E-01	5.07E-01	6.09E-02
3.62E-01	5.44E-01	9.46E-02
3.67E-01	5.84E-01	4.95E-02
4.30E-01	5.24E-01	4.61E-02
3.49E-01	4.91E-01	1.60E-01
3.39E-01	6.45E-01	1.62E-02
4.60E-01	4.49E-01	9.12E-02
4.89E-01	4.91E-01	1.94E-02
3.06E-01	6.32E-01	6.24E-02
4.94E-01	5.06E-01	0.00E+00
4.25E-01	5.57E-01	1.79E-02
3.63E-01	5.26E-01	1.11E-01
4.65E-01	5.35E-01	0.00E+00
4.43E-01	5.04E-01	5.35E-02
4.94E-01	4.43E-01	6.33E-02
2.69E-01	6.41E-01	8.97E-02
3.62E-01	4.88E-01	1.50E-01
3.95E-01	6.05E-01	0.00E+00
5.07E-01	4.81E-01	1.19E-02
4.24E-01	5.66E-01	9.61E-03
4.79E-01	5.21E-01	0.00E+00
4.35E-01	5.30E-01	3.49E-02
3.44E-01	6.02E-01	5.36E-02
4.40E-01	5.27E-01	3.36E-02
4.89E-01	4.07E-01	1.04E-01
3.81E-01	6.19E-01	0.00E+00
6.33E-01	3.67E-01	0.00E+00
6.77E-01	3.23E-01	0.00E+00
3.38E-01	6.08E-01	5.38E-02
4.18E-01	5.82E-01	0.00E+00
5.06E-01	3.78E-01	1.16E-01
3.94E-01	6.06E-01	0.00E+00
4.13E-01	5.87E-01	0.00E+00
3.74E-01	6.26E-01	0.00E+00
4.40E-01	5.24E-01	3.59E-02
4.63E-01	4.49E-01	8.81E-02
3.66E-01	5.66E-01	6.79E-02
3.95E-01	5.32E-01	7.30E-02
4.80E-01	4.92E-01	2.85E-02
4.34E-01	5.02E-01	6.40E-02
4.54E-01	4.99E-01	4.80E-02
3.86E-01	5.65E-01	4.93E-02
4.66E-01	5.11E-01	2.33E-02
5.05E-01	4.46E-01	4.88E-02
5.21E-01	3.95E-01	8.43E-02
3.63E-01	5.97E-01	4.05E-02
3.90E-01	5.59E-01	5.10E-02
5.66E-01	4.34E-01	0.00E+00
4.16E-01	4.73E-01	1.10E-01
4.87E-01	5.13E-01	0.00E+00
5.44E-01	4.23E-01	3.27E-02
5.23E-01	3.44E-01	1.33E-01
3.83E-01	6.17E-01	0.00E+00
3.67E-01	5.36E-01	9.70E-02
2.90E-01	7.10E-01	0.00E+00
4.89E-01	5.11E-01	0.00E+00
4.58E-01	4.31E-01	1.11E-01
3.60E-01	5.53E-01	8.68E-02
4.11E-01	5.89E-01	0.00E+00
4.88E-01	4.19E-01	9.27E-02
4.81E-01	5.18E-01	7.01E-04
4.20E-01	5.34E-01	4.62E-02
2.13E-01	6.96E-01	9.05E-02
6.08E-01	3.15E-01	7.67E-02
3.97E-01	5.15E-01	8.79E-02
3.77E-01	5.60E-01	6.24E-02
4.57E-01	5.36E-01	7.01E-03
4.16E-01	5.22E-01	6.24E-02
3.96E-01	6.04E-01	0.00E+00
4.46E-01	5.47E-01	7.24E-03
5.27E-01	3.74E-01	9.91E-02
4.11E-01	5.89E-01	0.00E+00
4.73E-01	4.68E-01	5.95E-02
3.72E-01	6.28E-01	0.00E+00
4.56E-01	5.24E-01	2.04E-02
3.48E-01	5.74E-01	7.84E-02
5.13E-01	4.42E-01	4.51E-02
3.36E-01	6.07E-01	5.64E-02
3.33E-01	5.58E-01	1.09E-01
4.68E-01	5.08E-01	2.36E-02
3.55E-01	6.45E-01	0.00E+00
5.10E-01	3.97E-01	9.29E-02
4.79E-01	3.99E-01	1.21E-01
4.09E-01	5.91E-01	1.71E-04
2.88E-01	5.95E-01	1.17E-01
3.39E-01	5.70E-01	9.05E-02
4.56E-01	5.43E-01	8.51E-04
4.33E-01	5.30E-01	3.72E-02
3.73E-01	5.37E-01	9.04E-02
4.70E-01	4.97E-01	3.28E-02
2.78E-01	7.22E-01	0.00E+00
3.96E-01	4.21E-01	1.84E-01
4.25E-01	5.48E-01	2.66E-02
5.23E-01	4.39E-01	3.83E-02
3.80E-01	6.20E-01	0.00E+00
5.05E-01	4.55E-01	3.95E-02
4.98E-01	4.68E-01	3.39E-02
4.22E-01	3.94E-01	1.84E-01
4.74E-01	4.35E-01	9.02E-02
5.88E-01	4.12E-01	0.00E+00
4.20E-01	5.80E-01	0.00E+00
3.05E-01	6.95E-01	0.00E+00
4.14E-01	3.35E-01	2.51E-01
5.56E-01	4.17E-01	2.72E-02
5.32E-01	4.68E-01	0.00E+00
4.62E-01	5.38E-01	0.00E+00
4.37E-01	4.77E-01	8.61E-02
3.01E-01	4.79E-01	2.20E-01
2.89E-01	6.93E-01	1.78E-02
4.01E-01	5.07E-01	9.14E-02
3.95E-01	6.05E-01	0.00E+00
3.97E-01	6.03E-01	0.00E+00
4.57E-01	5.01E-01	4.13E-02
5.10E-01	4.90E-01	0.00E+00
5.04E-01	4.02E-01	9.44E-02
4.42E-01	4.78E-01	7.95E-02
4.35E-01	5.56E-01	9.10E-03
4.34E-01	5.59E-01	6.41E-03
2.57E-01	7.43E-01	0.00E+00
4.04E-01	5.37E-01	5.85E-02
4.06E-01	4.53E-01	1.41E-01
2.80E-01	6.46E-01	7.40E-02
3.63E-01	6.05E-01	3.18E-02
4.27E-01	5.73E-01	0.00E+00
5.09E-01	4.26E-01	6.43E-02
4.23E-01	5.77E-01	0.00E+00
4.83E-01	5.08E-01	8.37E-03
3.54E-01	5.98E-01	4.86E-02
5.16E-01	4.13E-01	7.07E-02
3.79E-01	5.07E-01	1.13E-01
3.53E-01	6.42E-01	4.55E-03
3.37E-01	5.22E-01	1.41E-01
3.47E-01	5.49E-01	1.04E-01
5.86E-01	3.53E-01	6.09E-02
5.88E-01	3.85E-01	2.72E-02
4.75E-01	3.87E-01	1.38E-01
3.26E-01	5.78E-01	9.62E-02
5.52E-01	4.48E-01	0.00E+00
3.96E-01	5.45E-01	5.94E-02
4.81E-01	5.05E-01	1.35E-02
3.50E-01	6.50E-01	0.00E+00
5.34E-01	4.66E-01	0.00E+00
4.41E-01	4.21E-01	1.38E-01
3.60E-01	4.70E-01	1.70E-01
3.47E-01	4.84E-01	1.69E-01
6.84E-01	3.16E-01	0.00E+00
4.39E-01	4.87E-01	7.41E-02
4.24E-01	5.76E-01	0.00E+00
5.25E-01	4.29E-01	4.61E-02
4.14E-01	4.74E-01	1.12E-01
4.21E-01	4.77E-01	1.02E-01
4.87E-01	3.91E-01	1.22E-01
2.67E-01	7.33E-01	0.00E+00
3.42E-01	5.62E-01	9.66E-02
2.75E-01	6.41E-01	8.40E-02
3.41E-01	4.94E-01	1.65E-01
4.52E-01	4.88E-01	6.02E-02
4.12E-01	5.38E-01	5.02E-02
4.09E-01	5.91E-01	0.00E+00
4.48E-01	4.49E-01	1.03E-01
4.77E-01	5.23E-01	0.00E+00
3.96E-01	4.73E-01	1.31E-01
4.89E-01	4.98E-01	1.38E-02
2.86E-01	6.48E-01	6.56E-02
4.33E-01	5.62E-01	4.48E-03
3.40E-01	5.52E-01	1.08E-01
3.89E-01	4.11E-01	2.00E-01
4.96E-01	5.04E-01	0.00E+00
4.23E-01	4.89E-01	8.79E-02
4.93E-01	4.56E-01	5.16E-02
4.07E-01	5.40E-01	5.21E-02
5.35E-01	4.56E-01	9.44E-03
5.30E-01	4.02E-01	6.83E-02
4.26E-01	4.81E-01	9.23E-02
5.29E-01	4.71E-01	0.00E+00
4.62E-01	4.55E-01	8.25E-02
4.40E-01	5.53E-01	7.17E-03
4.06E-01	4.87E-01	1.06E-01
3.82E-01	6.11E-01	7.64E-03
4.79E-01	3.95E-01	1.25E-01
3.57E-01	6.43E-01	0.00E+00
4.16E-01	5.04E-01	7.99E-02
5.04E-01	4.53E-01	4.27E-02
4.53E-01	4.89E-01	5.79E-02
4.34E-01	5.66E-01	0.00E+00
4.08E-01	4.59E-01	1.33E-01
5.27E-01	4.73E-01	0.00E+00
3.97E-01	5.66E-01	3.67E-02
4.13E-01	5.56E-01	3.18E-02
2.93E-01	4.89E-01	2.18E-01
3.96E-01	4.76E-01	1.28E-01
4.03E-01	4.70E-01	1.27E-01
4.23E-01	4.82E-01	9.55E-02
5.24E-01	4.76E-01	0.00E+00
4.59E-01	5.41E-01	0.00E+00
3.48E-01	5.53E-01	9.89E-02
4.15E-01	5.39E-01	4.69E-02
3.59E-01	6.03E-01	3.75E-02
3.96E-01	6.04E-01	0.00E+00
5.58E-01	4.17E-01	2.49E-02
3.69E-01	5.02E-01	1.29E-01
3.49E-01	5.34E-01	1.17E-01
4.89E-01	5.11E-01	0.00E+00
4.23E-01	4.82E-01	9.48E-02
4.11E-01	4.18E-01	1.71E-01
4.56E-01	4.63E-01	8.11E-02
2.89E-01	6.46E-01	6.54E-02
3.41E-01	6.24E-01	3.56E-02
6.30E-01	3.70E-01	0.00E+00
5.94E-01	3.82E-01	2.47E-02
4.51E-01	5.29E-01	2.01E-02
5.51E-01	4.49E-01	0.00E+00
5.54E-01	4.16E-01	3.08E-02
4.77E-01	5.22E-01	6.55E-04
4.24E-01	5.65E-01	1.10E-02
6.10E-01	3.90E-01	0.00E+00
4.31E-01	5.57E-01	1.25E-02
4.94E-01	5.06E-01	0.00E+00
3.91E-01	5.47E-01	6.23E-02
4.10E-01	4.93E-01	9.70E-02
5.63E-01	4.37E-01	3.16E-05
6.17E-01	3.25E-01	5.77E-02
5.70E-01	4.30E-01	0.00E+00
4.70E-01	4.71E-01	5.84E-02
5.20E-01	4.41E-01	3.86E-02
5.06E-01	4.04E-01	8.94E-02
4.26E-01	5.74E-01	0.00E+00
4.76E-01	4.83E-01	4.11E-02
6.53E-01	3.47E-01	0.00E+00
4.22E-01	5.78E-01	0.00E+00
5.38E-01	4.21E-01	4.10E-02
4.81E-01	5.19E-01	0.00E+00
4.29E-01	3.84E-01	1.87E-01
4.39E-01	5.22E-01	3.94E-02
5.48E-01	4.52E-01	0.00E+00
5.06E-01	4.94E-01	0.00E+00
4.21E-01	4.66E-01	1.13E-01
5.46E-01	3.84E-01	7.04E-02
4.63E-01	4.91E-01	4.53E-02
4.87E-01	5.13E-01	0.00E+00
3.65E-01	6.30E-01	5.53E-03
3.48E-01	6.52E-01	0.00E+00
4.52E-01	5.31E-01	1.70E-02
4.81E-01	4.85E-01	3.37E-02
4.30E-01	4.66E-01	1.04E-01
5.20E-01	4.18E-01	6.17E-02
4.26E-01	5.46E-01	2.81E-02
3.49E-01	5.43E-01	1.08E-01
4.02E-01	5.10E-01	8.73E-02
4.84E-01	4.43E-01	7.26E-02
5.85E-01	4.15E-01	0.00E+00
4.03E-01	5.26E-01	7.12E-02
3.64E-01	5.75E-01	6.09E-02
4.22E-01	4.55E-01	1.24E-01
4.41E-01	4.89E-01	6.98E-02
3.25E-01	6.25E-01	4.99E-02
5.16E-01	4.84E-01	0.00E+00
4.22E-01	5.42E-01	3.53E-02
4.43E-01	5.57E-01	0.00E+00
4.66E-01	5.34E-01	0.00E+00
5.81E-01	3.45E-01	7.38E-02
5.22E-01	4.20E-01	5.79E-02
4.17E-01	4.96E-01	8.70E-02
4.11E-01	5.89E-01	0.00E+00
5.24E-01	4.72E-01	3.60E-03
4.09E-01	5.88E-01	3.20E-03
5.34E-01	3.72E-01	9.37E-02
5.10E-01	4.45E-01	4.45E-02
2.01E-01	5.33E-01	2.66E-01
5.06E-01	4.89E-01	5.02E-03
5.53E-01	4.32E-01	1.51E-02
5.63E-01	4.18E-01	1.93E-02
6.28E-01	3.70E-01	1.67E-03
4.15E-01	4.82E-01	1.03E-01
2.05E-01	7.21E-01	7.45E-02
3.87E-01	5.37E-01	7.62E-02
4.88E-01	4.58E-01	5.48E-02
5.00E-01	4.76E-01	2.41E-02
2.95E-01	5.67E-01	1.38E-01
4.61E-01	5.39E-01	0.00E+00
4.61E-01	4.80E-01	5.89E-02
5.10E-01	4.78E-01	1.20E-02
5.12E-01	4.88E-01	0.00E+00
4.23E-01	5.39E-01	3.82E-02
5.32E-01	4.64E-01	3.28E-03
5.45E-01	4.10E-01	4.44E-02
3.45E-01	6.24E-01	3.09E-02
4.90E-01	5.10E-01	0.00E+00
4.65E-01	5.35E-01	0.00E+00
4.44E-01	5.16E-01	4.08E-02
3.92E-01	5.56E-01	5.30E-02
4.04E-01	5.22E-01	7.43E-02
4.58E-01	4.30E-01	1.13E-01
4.34E-01	4.89E-01	7.72E-02
3.71E-01	6.29E-01	4.49E-04
2.20E-01	7.80E-01	0.00E+00
5.22E-01	4.78E-01	0.00E+00
3.91E-01	5.25E-01	8.41E-02
3.21E-01	5.31E-01	1.48E-01
3.23E-01	6.30E-01	4.73E-02
4.25E-01	5.75E-01	1.06E-05
5.74E-01	4.26E-01	0.00E+00
4.83E-01	4.51E-01	6.56E-02
3.79E-01	5.74E-01	4.69E-02
3.54E-01	5.97E-01	4.96E-02
4.73E-01	4.28E-01	9.95E-02
4.87E-01	5.13E-01	0.00E+00
4.98E-01	4.89E-01	1.28E-02
5.16E-01	4.18E-01	6.68E-02
3.28E-01	6.72E-01	0.00E+00
4.67E-01	5.25E-01	7.64E-03
4.64E-01	5.15E-01	2.15E-02
3.35E-01	6.65E-01	0.00E+00
3.81E-01	5.03E-01	1.16E-01
3.97E-01	5.30E-01	7.29E-02
4.30E-01	5.68E-01	1.69E-03
4.64E-01	4.78E-01	5.86E-02
4.76E-01	5.05E-01	1.91E-02
6.55E-01	3.45E-01	0.00E+00
3.94E-01	5.28E-01	7.81E-02
4.46E-01	4.84E-01	7.05E-02
3.02E-01	6.98E-01	0.00E+00
4.53E-01	5.32E-01	1.50E-02
2.97E-01	6.80E-01	2.25E-02
4.62E-01	5.30E-01	7.75E-03
4.70E-01	4.16E-01	1.14E-01
3.75E-01	5.75E-01	5.08E-02
5.28E-01	4.72E-01	0.00E+00
4.64E-01	5.36E-01	0.00E+00
5.39E-01	3.26E-01	1.35E-01
2.45E-01	7.55E-01	0.00E+00
5.50E-01	4.47E-01	3.08E-03
5.17E-01	4.58E-01	2.50E-02
3.45E-01	5.77E-01	7.82E-02
3.10E-01	6.90E-01	0.00E+00
3.87E-01	4.41E-01	1.73E-01
5.18E-01	4.59E-01	2.33E-02
3.72E-01	6.28E-01	0.00E+00
4.21E-01	4.18E-01	1.60E-01
5.12E-01	4.33E-01	5.50E-02
4.57E-01	4.93E-01	4.93E-02
5.12E-01	4.88E-01	0.00E+00
5.64E-01	4.20E-01	1.51E-02
4.63E-01	4.91E-01	4.55E-02
4.94E-01	5.06E-01	0.00E+00
5.00E-01	4.14E-01	8.60E-02
5.57E-01	4.07E-01	3.57E-02
3.40E-01	6.60E-01	0.00E+00
3.99E-01	5.39E-01	6.19E-02
3.90E-01	4.60E-01	1.50E-01
5.07E-01	4.56E-01	3.64E-02
4.39E-01	5.48E-01	1.30E-02
2.57E-01	7.14E-01	2.95E-02
2.62E-01	6.37E-01	1.01E-01
3.80E-01	4.05E-01	2.15E-01
5.18E-01	4.71E-01	1.05E-02
2.97E-01	7.03E-01	0.00E+00
3.65E-01	5.06E-01	1.30E-01
3.63E-01	5.71E-01	6.61E-02
4.02E-01	5.37E-01	6.06E-02
5.49E-01	4.34E-01	1.70E-02
4.06E-01	5.12E-01	8.24E-02
5.44E-01	4.16E-01	4.00E-02
3.23E-01	6.77E-01	0.00E+00
4.69E-01	3.75E-01	1.57E-01
3.54E-01	4.91E-01	1.55E-01
4.35E-01	5.58E-01	6.82E-03
3.90E-01	4.76E-01	1.34E-01
4.66E-01	3.32E-01	2.02E-01
3.15E-01	5.86E-01	9.92E-02
5.38E-01	3.86E-01	7.53E-02
4.74E-01	4.66E-01	5.96E-02
3.16E-01	5.21E-01	1.63E-01
6.56E-01	3.44E-01	0.00E+00
3.44E-01	6.37E-01	1.84E-02
4.70E-01	5.30E-01	0.00E+00
5.06E-01	4.42E-01	5.18E-02
3.84E-01	5.07E-01	1.09E-01
4.30E-01	5.61E-01	9.53E-03
4.23E-01	5.32E-01	4.49E-02
2.56E-01	6.13E-01	1.31E-01
5.91E-01	3.81E-01	2.84E-02
4.95E-01	5.05E-01	0.00E+00
5.14E-01	4.21E-01	6.48E-02
4.45E-01	5.35E-01	1.95E-02
3.75E-01	4.78E-01	1.47E-01
3.69E-01	6.31E-01	0.00E+00
3.40E-01	5.25E-01	1.35E-01
4.01E-01	5.54E-01	4.47E-02
4.97E-01	4.46E-01	5.63E-02
4.70E-01	4.80E-01	5.02E-02
2.85E-01	5.54E-01	1.62E-01
3.95E-01	5.60E-01	4.49E-02
4.48E-01	5.08E-01	4.44E-02
2.60E-01	7.40E-01	0.00E+00
5.02E-01	4.72E-01	2.61E-02
6.24E-01	3.76E-01	0.00E+00
5.47E-01	4.48E-01	5.55E-03
6.60E-01	3.40E-01	0.00E+00
5.46E-01	4.52E-01	1.65E-03
4.63E-01	4.72E-01	6.47E-02
3.82E-01	5.01E-01	1.16E-01
4.81E-01	4.36E-01	8.35E-02
5.60E-01	4.13E-01	2.69E-02
5.35E-01	4.65E-01	0.00E+00
3.63E-01	6.27E-01	9.63E-03
4.45E-01	3.93E-01	1.63E-01
4.24E-01	5.47E-01	2.81E-02
5.01E-01	4.45E-01	5.39E-02
4.24E-01	5.76E-01	0.00E+00
3.37E-01	6.63E-01	0.00E+00
4.56E-01	5.10E-01	3.36E-02
3.22E-01	6.62E-01	1.58E-02
5.35E-01	4.00E-01	6.50E-02
3.65E-01	6.28E-01	7.50E-03
6.54E-01	3.46E-01	0.00E+00
3.54E-01	6.46E-01	0.00E+00
4.09E-01	4.33E-01	1.58E-01
5.11E-01	4.89E-01	0.00E+00
3.09E-01	5.44E-01	1.46E-01
4.26E-01	5.48E-01	2.53E-02
6.51E-01	3.49E-01	0.00E+00
3.54E-01	5.79E-01	6.67E-02
5.08E-01	4.92E-01	0.00E+00
4.19E-01	4.91E-01	9.03E-02
5.87E-01	4.13E-01	0.00E+00
3.15E-01	4.14E-01	2.71E-01
4.26E-01	5.69E-01	4.83E-03
4.45E-01	5.55E-01	0.00E+00
3.88E-01	5.60E-01	5.13E-02
4.74E-01	4.93E-01	3.33E-02
4.51E-01	5.09E-01	3.98E-02
4.47E-01	4.75E-01	7.82E-02
4.82E-01	4.06E-01	1.12E-01
